id,name,definition,purpose,status,meta_meta,examples,relations,created,updated
C_10,Инвестирование и учет времени,"Практика осознанного распределения временных ресурсов между различными активностями с отслеживанием их влияния на карьерные цели. Включает планирование времени на основе приоритетов, фиксацию фактических затрат и анализ эффективности вложений времени в разные виды деятельности.","Обеспечивает осознанное управление главным невосполнимым ресурсом — временем. Позволяет выявлять временные утечки, оптимизировать распределение усилий между текущими задачами и долгосрочным развитием, повышать отдачу от инвестиций в обучение и карьерный рост.",draft+filled,Метод,Еженедельный анализ времени по категориям; Трекинг времени на обучение vs рабочие задачи; Планирование слотов для приоритетных проектов; Учет времени на практики саморазвития; Анализ ROI временных инвестиций,relates_to:C_21; relates_to:C_27; relates_to:C_28; relates_to:C_35; relates_to:C_36; relates_to:C_37; relates_to:C_50; relates_to:C_51; relates_to:C_53,2025-10-02T15:58:57.449181,2025-10-02T16:09:59.636295
C_11,Исчезающие заметки,"Быстрые записи мыслей, идей или наблюдений, которые делаются в момент возникновения без намерения их долгосрочного хранения. Служат для фиксации мимолетных инсайтов и освобождения оперативной памяти мозга. После обработки или переноса в постоянную систему знаний могут удаляться или архивироваться.","Захват спонтанных идей и предотвращение их потери, снижение когнитивной нагрузки, создание буферной зоны между потоком мыслей и структурированной системой знаний. Особенно важны для творческих профессионалов и людей с высокой интенсивностью мыслительной деятельности.",draft+filled,Артефакт,Заметка в телефоне во время прогулки; Стикер на мониторе с идеей; Голосовое сообщение себе; Набросок на салфетке; Пометка на полях книги,relates_to:C_24; relates_to:C_26; relates_to:C_54,2025-10-02T15:58:57.449699,2025-10-02T16:10:15.846000
C_12,Калибр личности,"Совокупность профессиональных и личностных характеристик, определяющих уровень влияния, доверия и возможностей человека в карьерной среде. Включает экспертизу, репутацию, коммуникативные навыки и способность решать задачи возрастающей сложности. Отражает готовность брать на себя ответственность и создавать ценность для других.","Помогает оценить текущий уровень профессионального развития и определить направления роста. Позволяет выбирать подходящие роли и проекты, строить карьерную стратегию с учетом реальных возможностей. Используется для планирования инвестиций в развитие компетенций и репутации.",draft+filled,Характеристика,Переход на роль тимлида после накопления экспертизы; Получение приглашений на сложные проекты; Рост зарплатных предложений; Формирование личного бренда в профессиональном сообществе; Способность влиять на стратегические решения команды,relates_to:C_2; relates_to:C_3; relates_to:C_23; relates_to:C_43; relates_to:C_45; relates_to:C_46,2025-10-02T15:58:57.450182,2025-10-02T16:10:27.504416
C_13,Карта ролей / карта системы карьеры,"Визуальное представление всех профессиональных и личных ролей человека с указанием их взаимосвязей, приоритетов и временных затрат. Включает текущие роли, желаемые роли и переходы между ними. Показывает, как роли влияют друг на друга и какие ресурсы требуют.","Помогает осознать полную картину своих обязательств, выявить конфликты ролей и возможности для синергии. Используется для принятия решений о карьерных переходах и балансе жизненных приоритетов.",draft+filled,Артефакт,Схема с ролями «разработчик-тимлид-отец-блогер»; Матрица ролей с указанием времени и энергии; Диаграмма желаемых переходов между ролями; Карта конфликтов и синергий ролей; План развития от текущих к целевым ролям,relates_to:C_46; relates_to:C_14; relates_to:C_48; relates_to:C_27,2025-10-02T15:58:57.450602,2025-10-02T16:10:39.887381
C_14,Карьера,"Последовательность профессиональных ролей, проектов и достижений человека, развивающаяся через осознанные инвестиции в мастерство, репутацию и социальные связи. Включает как формальные позиции в организациях, так и личные проекты, предпринимательство и экспертную деятельность. Не путать с карьерным ростом — карьера это вся траектория, а рост — её отдельные этапы повышения статуса или компетенций.","Обеспечивает рамку для планирования профессионального развития, принятия решений о смене ролей и инвестициях в обучение. Позволяет оценивать текущее положение и выстраивать стратегию достижения желаемых позиций через накопление мастерства и репутации.",draft+filled,Система,Переход на позицию тимлида; Запуск консалтингового бизнеса; Развитие экспертности в машинном обучении; Построение личного бренда через публикации; Смена индустрии с сохранением профессии,relates_to:C_13; relates_to:C_15; relates_to:C_48; relates_to:C_2; relates_to:C_23; relates_to:C_43; relates_to:C_45; relates_to:C_46,2025-10-02T15:58:57.451018,2025-10-02T16:10:59.361421
C_15,Карьерный рост,"Процесс целенаправленного развития профессиональных возможностей через повышение мастерства, расширение ролей и увеличение влияния. Включает продвижение по должности, освоение новых компетенций, рост доходов и профессионального признания. Отличается от карьеры как системы тем, что фокусируется на динамике изменений, а не на текущем состоянии.","Обеспечивает направленное движение в профессиональной деятельности, помогает планировать следующие шаги развития и измерять прогресс. Создаёт основу для принятия решений о смене ролей, развитии компетенций и инвестировании времени в приоритетные области.",draft+filled,Метод,Переход на позицию тимлида; Освоение новой технологии для текущей роли; Получение сертификации; Увеличение зарплаты на 30% за год; Выступление на профессиональной конференции,relates_to:C_14; relates_to:C_23; relates_to:C_46; relates_to:C_33; relates_to:C_53; relates_to:C_27,2025-10-02T15:58:57.451444,2025-10-02T16:11:11.215299
C_16,Киберличность,"Цифровая идентичность профессионала, включающая онлайн-репутацию, цифровые следы активности и способность эффективно взаимодействовать в цифровой среде. Объединяет управление личным брендом в интернете, цифровые компетенции и стратегическое присутствие на профессиональных платформах.","Формирование узнаваемого профессионального образа в цифровом пространстве, расширение карьерных возможностей через онлайн-присутствие, создание дополнительных каналов для демонстрации экспертности и установления профессиональных связей.",draft+filled,Характеристика,Профиль в LinkedIn с регулярными публикациями; Личный блог или канал по профессиональной тематике; Участие в онлайн-конференциях и вебинарах; Цифровое портфолио работ; Активность в профессиональных сообществах,relates_to:C_3; relates_to:C_43; relates_to:C_45; relates_to:C_44,2025-10-02T15:58:57.451867,2025-10-02T16:11:24.230034
C_17,Конвейер работ,"Организованная последовательность рабочих задач и проектов, где каждый элемент проходит через определённые стадии выполнения с чёткими переходами между ними. Включает входящие задачи, активные работы, проверку качества и завершённые результаты. Обеспечивает непрерывный поток создания ценности через структурированное управление рабочими процессами.","Поддерживать стабильную продуктивность через визуализацию и контроль рабочих процессов. Предотвращать перегрузку и простои, обеспечивать качественное выполнение задач. Создавать предсказуемый ритм работы и возможность планирования загрузки на основе пропускной способности системы.",draft+filled,Метод,"Канбан-доска с колонками ""К выполнению - В работе - На проверке - Готово""; Еженедельный обзор активных проектов с перемещением по стадиям; Ограничение количества одновременных задач; Ритуал планирования новых работ на основе освободившихся слотов; Отслеживание времени прохождения задач через конвейер",relates_to:C_1; relates_to:C_28; relates_to:C_37; relates_to:C_38; relates_to:C_44; relates_to:C_50; relates_to:C_51; relates_to:C_54,2025-10-02T15:58:57.452279,2025-10-02T16:11:37.957577
C_18,Конструктивное выравнивание,"Принцип согласования целей обучения, методов работы и критериев оценки результатов в рамках одного проекта или роли. Обеспечивает, чтобы то, что изучается или развивается, соответствовало способам работы и тому, как измеряется успех. Создаёт целостность между намерениями, действиями и обратной связью.","Устраняет противоречия между планами и реальностью, повышает эффективность обучения и работы, помогает избежать ситуаций когда развиваешь одно, делаешь другое, а оцениваешься по третьему. Ключевой принцип для осознанного карьерного развития.",draft+filled,Метод,Согласование KPI с реальными рабочими задачами; Выбор практик саморазвития под конкретные карьерные цели; Настройка обратной связи под методы работы; Синхронизация личных целей с требованиями роли; Выравнивание критериев приёмки проекта с его целями,relates_to:C_20; relates_to:C_23; relates_to:C_31; relates_to:C_33; relates_to:C_35; relates_to:C_46; relates_to:C_53,2025-10-02T15:58:57.452786,2025-10-02T16:11:51.860514
C_19,Консультанты и карьерные трекеры,"Внешние специалисты, которые помогают профессионалам в планировании и развитии карьеры через структурированные консультации, обратную связь и экспертизу. Включают карьерных коучей, HR-консультантов, менторов и специализированных трекеров прогресса. Предоставляют объективный взгляд со стороны и профессиональные инструменты анализа карьерных траекторий.","Получение экспертной поддержки в карьерных решениях, объективной оценки текущего состояния и возможностей роста. Помогают структурировать карьерные планы, выявить слепые зоны в развитии и получить обратную связь от опытных практиков. Особенно ценны на переломных этапах карьеры и при смене направлений.",draft+filled,Роль,Сессия с карьерным коучем для анализа целей; Консультация HR-эксперта по рынку; Регулярные встречи с ментором; Использование карьерных трекеров и приложений; Участие в карьерных воркшопах,relates_to:C_2; relates_to:C_14; relates_to:C_15; relates_to:C_27; relates_to:C_48; relates_to:C_53,2025-10-02T15:58:57.453205,2025-10-02T16:12:04.257105
