id,name,definition,purpose,meta_meta,Обоснование и связанные понятия,examples,relations,status,Связанные понятия и мои мысли
C_1,«Ворота» между стадиями,Заранее определённые критерии выхода/входа между стадиями развития.,"Снимают «залипание» и размытость стадий, особенно при смене ролей/уровней.",Характеристика,"Определение критериев для перехода от стадии ""Идея"" к ""Прототип""; Установление условий для завершения стадии ""Разработка"" и перехода к ""Тестированию""; Согласование показателей для перехода сотрудника на следующий уровень должности.","Определение критериев для перехода от стадии ""Идея"" к ""Прототип""; Установление условий для завершения стадии ""Разработка"" и перехода к ""Тестированию""; Согласование показателей для перехода сотрудника на следующий уровень должности.",,,"Снимают «залипание» и размытость стадий, особенно при смене ролей/уровней."
C_2,Агентность,"Агентность — это характеристика личности, выражающаяся в сильном желании и способности активно действовать с целью изменения мира, устранения неудовлетворённостей и реализации собственных замыслов. В контексте системной карьеры, это способность человека занимать проактивную позицию «заказчика собственного развития», самостоятельно определяя свои цели, роли и правила инвестирования времени и средств. Высокая агентность проявляется в способности инициировать крупные проекты, удерживать ритм их исполнения и нести ответственность за результат. Это желание не просто реагировать на внешние обстоятельства, а формировать их, переходя от решения проблем к созданию новых систем.","Позволяет человеку брать на себя ответственность за собственное развитие, активно формировать свою карьеру и жизненный путь, а не просто реагировать на внешние обстоятельства. Способствует реализации личных замыслов и устранению неудовлетворённостей через целенаправленные действия.",Характеристика,Самостоятельное планирование карьерного пути; Инициирование проектов вне должностных обязанностей; Активный поиск решений для устранения проблем; Принятие ответственности за результаты своего развития.,Самостоятельное планирование карьерного пути; Инициирование проектов вне должностных обязанностей; Активный поиск решений для устранения проблем; Принятие ответственности за результаты своего развития.,C_6_Жизненное мастерство,,"Заказчик собственного развития: это прямое практическое проявление агентности. Агентность — это внутреннее качество (желание и способность), а позиция «заказчика» — это его реализация в действии через конкретные инструменты.• Неудовлетворённость: Это топливо для агентности. Агентность не существует в вакууме; она направлена на устранение разрыва между желаемым и действительным. Чем выше калибр неудовлетворённостей (от личных к проблемам общества), тем выше калибр личности и её агентности. Элита: агентность является одной из трёх ключевых характеристик элиты, наряду с мастерством и ресурсностью. Элита — это люди с максимальной агентностью, направленной на создание ценности на высоких системных уровнях.Личный приоритетный проект: это главный операционный инструмент для реализации агентности. Он переводит внутреннее желание действовать в регулярный, проверяемый процесс с еженедельными рабочими продуктами. Личный контракт: формальный документ, который структурирует агентность, превращая абстрактные смыслы и желания в конкретные обязательства перед самим собой. Калибр личности: агентность тесно связана с масштабом личности. Растить агентность — значит растить и калибр личности, переходя от решения своих проблем к решению проблем сообщества и человечества. Агентность — это не черта характера, а управляемая характеристика. Это «мышца», которую можно и нужно тренировать. Формальное описание неудовлетворённостей, постановка гипотез и их еженедельная проверка в действии — это и есть процесс наращивания агентности. Агентность начинается с языка и мышления. Переход от пассивных формулировок («меня не устраивает», «хотелось бы») к активным («я запускаю проект X, чтобы устранить неудовлетворённость Y») — это первый шаг. Личный контракт и публичные обязательства закрепляют эту смену позиции. Мы буквально программируем свой мозг на действие, меняя способ описания реальности. Агентность требует «точки опоры» — личного приоритетного проекта. Без него желание действовать рассеивается, превращаясь в фоновое беспокойство. Приоритетный проект канализирует энергию агентности, давая ей выход в виде конкретных, осязаемых артефактов. Это критически важно: агентность без регулярного результата вырождается в пустые амбиции. Современная агентность — это агентность киберличности. Сегодняшний деятель — это не просто человек, а система «человек + экзокортекс + ИИ-ассистенты». Соответственно, его агентность проявляется в способности оркестрировать эту расширенную систему: ставить цели не только себе, но и своим цифровым агентам, выстраивать конвейеры работ и нести ответственность за их совокупный результат. Это качественно новый уровень агентности, который являтся ключевым для современной карьеры."
C_3,Бренд личности,"Набор смыслов, который включает заявление о ценности (обещание), наблюдаемое исполнение этого обещания и доказательства (метрики, кейсы). Сила бренда измеряется тем, насколько стабильно обещание подтверждается фактами.",,U.Episteme: Эпистемический артефакт,"Бренд личности — это набор смыслов и доказательств о ценности, которую человек создаёт. Это не сам человек, а знаниевый артефакт (совокупность моделей, кейсов, метрик), который описывает его репутацию. В FPF такие знаниевые конструкции моделируются как U.Episteme.",,,,"Публичность, Репутация, Рабочий продукт, Элита. Мысли: Источники дают очень прагматичное определение. Бренд — это не ""личная история"" или ""упаковка"". Это, по сути, публичный контракт: ""Я обещаю вот такую пользу, и вот доказательства"". Репутация и публичность — это следствия, а причина — регулярное создание проверяемых рабочих продуктов. Бренд не создается рассказами о себе, он строится на артефактах."
C_4,Взаимная рецензия (peer review),Внешний взгляд на соответствие критериям приёмки и уровню системности.,,U.Method: Абстрактный метод (способ действия),"Взаимная рецензия — это установленный способ получения обратной связи по рабочему продукту. Это абстрактный метод или процедура, которую можно применять многократно в разных контекстах. В FPF такой абстрактный «рецепт» действия моделируется как U.Method.",,,,Рубрика «2 плюса + 1 пожелание» задаёт культуру обратной связи.
C_5,Должность,"Закреплённый пакет ролей, полномочий и ресурсов в организации; следует за доказанной полезностью.",,U.RoleAssignment: Контекстное назначение роли,"Должность — это не просто роль, а формально закрепленный пакет ролей, полномочий и ресурсов внутри конкретной организации. Это полностью соответствует понятию U.RoleAssignment в FPF, которое формализует контракт «кто (держатель) исполняет какую роль в каком контексте».",,,,Частая ошибка — путать «роль» и «должность»; исправляется практикой артефактов.
C_6,Жизненное мастерство,"Совокупность прикладного мастерства (профессионализм в конкретной сфере, который приносит доход) и интеллекта (мыслительное мастерство, позволяющее быстро учиться новому и сложному).",,U.Capability: Способность системы,"Жизненное мастерство — это совокупность интеллекта и прикладных навыков, то есть способность человека решать проблемы и создавать системы. В FPF U.Capability моделирует именно эту способность системы выполнять определённый класс работ.",,,,"Интеллект, Прикладное мастерство, Мастерство саморазвития, Устранение неудовлетворённостей. Мысли: Это очень важное различение. Часто люди фокусируются только на прикладных навыках, забывая про интеллект. Но в быстро меняющемся мире именно интеллект обеспечивает адаптивность и позволяет быстро осваивать новые профессии. Вложение времени в интеллект — это непрямой, но самый надёжный путь к долгосрочному благополучию."
C_7,Заготовка,"Основной результат практики мышления письмом: текст, созданный в процессе размышления, а не через оформление готовых мыслей. Предназначен в первую очередь для самого мыслителя и его единомышленников, а не для широкой публики.",,U.Episteme: Эпистемический артефакт,"Заготовка — это результат практики мышления письмом, представляющий собой текст, созданный в процессе размышления. В FPF любая форма зафиксированного знания, от неформальной идеи до строгого документа, является эпистемическим артефактом (U.Episteme). Заготовка — это конкретный рабочий продукт этого типа, предназначенный для самого автора и его единомышленников, а не для широкой публики. Она служит основой для дальнейшей рефлексии и является ключевым элементом личной базы знаний.",,,,"Мышление письмом, Публичный пост, Черновики, Шаблон 5-абзацной заготовки. Мысли: Разделение ""заготовки"" и ""публичного поста"" — это мощный психологический приём. Он позволяет писать, не думая о критике и ""красивости"" текста. Важен сам процесс мышления, а не его конечный продукт для других. Это снимает писательский блок и позволяет регулярно публиковать результаты своих размышлений в кругу единомышленников, получая ценную обратную связь."
C_8,Инкремент,"По сути. Завершённый шаг развития системы, который увеличивает её полезность и годится к вводу/поставке в текущем цикле. В современной инженерии постановка задачи идёт «на очередной инкремент», а затем выполняется весь цикл разработки–тестирования–ввода, вплоть до эксплуатации и обратной связи — непрерывно/continuous . В следующем поколении (Software 4.0) даже агент может сам выводить инкремент на введение в эксплуатацию .

Когда важно. В итеративной/эволюционной разработке и портфельном управлении: каждый инкремент должен быть «готов» по критериям приёмки и наблюдаем по состояниям альф/артефактов (снятие двусмысленности «готово») .

Из чего состоит (практически). 1) Ценность/цель инкремента (что меняется для пользователя/ролей); 2) Критерии «готово»/приёмки (согласованные правила и проверки); 3) Комплект изменений (код/конфигурация/описания); 4) Следы работ (что и кем сделано — разделение «метод/план/выполнение» по FPF) .",,U.Artifact: Артефакт,"Инкремент — это измеримый результат и проверяемый рабочий продукт, создаваемый за базовую единицу прогресса, например, за недельный спринт. Он подтверждает фактическое движение вперед по проекту. В FPF результат выполненной работы или процесса моделируется как U.Work. Инкремент — это не просто абстрактный план, а запись о конкретном, завершенном изменении в системе или рабочем продукте, что полностью соответствует семантике U.Work.",,,,"Путают с:
• Релизом. Релиз — событие вывода; инкремент — готовый к выводу кусок продукта (может быть выпущен, а может ждать окна).
• Спринтом/задачей. Спринт — временной контейнер работ; задача — единица плана; инкремент — результат состояния альф/артефактов после цикла работ .

Связи:
• Опирается на: единые определения «готово» и явные состояния артефактов/альф (state explicitness) .
• Порождает: измеримый прогресс, обратную связь и постановку следующего инкремента (Dev→Ops единым контуром) .

Метафора. Годичное кольцо дерева: каждый слой — небольшой, но делает дерево толще и жизнеспособнее."
C_9,Интенсивность эмоций,,,,,,,,
C_10,Инвестирование и учет времени,"Практика управления вниманием и учёта времени, выделяемого на проекты. Расширенная версия техники Помодоро, которая разделяет время на инвестированное (в получение нового мастерства) и потраченное (применение имеющегося мастерства).",,U.Method: Абстрактный метод (способ действия),"Это практика, которая делает абстрактный ресурс времени видимым и управляемым. В рамках стратегирования она используется для выделения защищенных временных слотов под приоритетные проекты и анализа выполнения плана. В FPF, U.Method — это абстрактный, воспроизводимый способ действия. Учет и инвестирование времени — это именно такой универсальный метод управления личными ресурсами для достижения стратегических целей.",,,,"Приоритетный проект, Слот, Помодоро, Распорядок дня, Ресурсность. Мысли: ""Время, как и деньги, любит счёт"". Эта практика делает абстрактный ресурс (время) видимым и управляемым. Учёт времени — это не бюрократия, а инструмент концентрации и мотивации, особенно в долгих проектах, где результат не виден сразу. Это прямой показатель ваших реальных намерений."
